iter	Passed	Remaining
419	2508	3463
420	2513	3456
421	2518	3449
422	2525	3445
423	2530	3438
424	2536	3431
425	2542	3425
426	2547	3418
427	2553	3413
428	2559	3406
429	2564	3399
430	2570	3394
431	2576	3388
432	2582	3381
433	2589	3376
434	2594	3370
435	2609	3375
436	2616	3371
437	2622	3364
438	2627	3357
439	2633	3351
440	2638	3344
441	2643	3337
442	2649	3331
443	2654	3323
444	2659	3317
445	2665	3310
446	2670	3303
447	2675	3296
448	2681	3290
449	2686	3283
450	2692	3277
451	2698	3271
452	2703	3264
453	2708	3257
454	2714	3251
455	2719	3244
456	2724	3237
457	2730	3231
458	2735	3224
459	2740	3217
460	2746	3211
461	2752	3205
462	2757	3198
463	2763	3192
464	2770	3187
465	2775	3180
466	2781	3174
467	2787	3168
468	2792	3162
469	2799	3156
470	2804	3149
471	2810	3143
472	2814	3136
473	2820	3129
474	2825	3123
475	2830	3116
476	2835	3109
477	2841	3103
478	2846	3096
479	2851	3089
480	2857	3083
481	2862	3076
482	2868	3070
483	2874	3064
484	2879	3057
485	2884	3050
486	2889	3043
487	2895	3037
488	2900	3030
489	2906	3025
490	2911	3018
491	2916	3011
492	2922	3005
493	2927	2998
494	2932	2991
495	2938	2985
496	2943	2978
497	2948	2971
498	2953	2965
499	2959	2959
500	2964	2952
501	2970	2947
502	2977	2942
503	2983	2936
504	2989	2930
505	2994	2923
506	3000	2917
507	3006	2911
508	3011	2904
509	3016	2898
510	3021	2891
511	3027	2885
512	3031	2878
513	3037	2872
514	3042	2865
515	3047	2858
516	3052	2851
517	3057	2844
518	3061	2837
519	3068	2832
520	3073	2825
521	3078	2819
522	3084	2812
523	3089	2806
524	3094	2800
525	3100	2794
526	3105	2787
527	3110	2781
528	3117	2775
529	3122	2769
530	3128	2763
531	3136	2759
532	3142	2753
533	3148	2747
534	3153	2740
535	3158	2733
536	3163	2727
537	3168	2721
538	3173	2714
539	3179	2708
540	3183	2701
541	3189	2694
542	3194	2688
543	3199	2682
544	3204	2675
545	3211	2670
546	3215	2663
547	3220	2656
548	3225	2649
549	3230	2643
550	3246	2645
551	3251	2638
552	3256	2631
553	3262	2626
554	3266	2619
555	3271	2612
556	3277	2606
557	3281	2599
558	3286	2593
559	3292	2587
560	3297	2580
561	3302	2573
562	3308	2568
563	3313	2561
564	3318	2555
565	3325	2549
566	3330	2543
567	3335	2536
568	3341	2530
569	3346	2524
570	3350	2517
571	3356	2511
572	3361	2504
573	3366	2498
574	3371	2492
575	3376	2485
576	3381	2478
577	3387	2472
578	3392	2466
579	3396	2459
580	3401	2453
581	3406	2446
582	3411	2440
583	3416	2433
584	3421	2427
585	3426	2420
586	3431	2414
587	3436	2408
588	3441	2401
589	3446	2395
590	3452	2388
591	3456	2382
592	3461	2375
593	3466	2369
594	3471	2363
595	3476	2356
596	3481	2350
597	3486	2343
598	3491	2337
599	3495	2330
600	3501	2324
601	3506	2318
602	3511	2311
603	3517	2305
604	3522	2299
605	3528	2293
606	3543	2294
607	3551	2289
608	3556	2283
609	3561	2276
610	3566	2270
611	3571	2264
612	3576	2257
613	3582	2251
614	3586	2245
615	3591	2239
616	3597	2232
